,ID,d0fc,d1fc,d4fc
0,GO:0060326,1.3474710935645682,1.5840674627447098,12.87713114660128
1,GO:0030595,1.275878581595717,1.476522388560785,5.627618277734323
2,GO:0006935,1.2890870180718006,1.5345186997531268,11.228359348651123
3,GO:0042330,1.2890870180718006,1.5345186997531268,11.228359348651123
4,GO:0097529,1.2691280711921271,1.4721303502220122,5.378845692983516
5,GO:0071222,1.2260003228061196,1.507138483615704,2.7442260057835686
6,GO:0071219,1.2260003228061196,1.507138483615704,2.7442260057835686
7,GO:0071216,1.2264237108624696,1.4998544339716027,2.706030114232182
8,GO:0032496,1.3396685870523346,1.4764913793063041,3.4678211054442256
9,GO:0050900,1.1913319716229664,1.4323400445425836,4.582574865329349
10,GO:0002237,1.3394269612664467,1.4687848507415409,3.4383696557860524
11,GO:0097530,1.4269518205322502,1.4591701058724853,6.790534398109628
12,GO:1990266,1.4643962069621517,1.4371831308815362,5.876631915953354
13,GO:0070555,1.6654946182321946,2.0489148872375176,38.62896297518576
14,GO:0019730,1.2430261944482508,1.3741695279390453,6.096538889056166
15,GO:0071621,1.492081180277424,1.5249111355596723,7.5602298438678
16,GO:1990868,1.1198277700856738,1.7681781371825813,9.252705411625902
17,GO:1990869,1.1198277700856738,1.7681781371825813,9.252705411625902
18,GO:0071347,1.8514522010037695,2.3370837622965572,49.33966363047042
19,GO:0002685,1.1253312106095774,1.4438192657882962,5.201570513744007
20,GO:0031640,1.100585072058077,1.37670259075388,3.984032577083621
21,GO:0141061,1.100585072058077,1.37670259075388,3.984032577083621
22,GO:0030593,1.5437956772237993,1.5067783449452836,6.575602858479029
23,GO:0006959,1.1707554531614466,1.4014694892689794,6.462765073505642
24,GO:0019221,1.1329141250710808,1.5031343068343634,4.573954515491744
25,GO:0061844,1.4303362360051814,1.3313766129740958,5.493864970586625
26,GO:0002688,1.1815195019059364,1.5229440555352867,6.835647590527287
27,GO:0141060,1.100585072058077,1.37670259075388,3.984032577083621
28,GO:0001906,1.058797542061317,1.295514597203577,4.218076486226241
29,GO:0002687,1.1729915094052197,1.4303309278456189,6.04303130239916
30,GO:0071674,1.101642078023234,1.5120104678824149,4.662368412172897
31,GO:0050920,1.1353581194304316,1.4510460236762488,5.880974242977865
32,GO:0050727,1.2450750708397849,1.4395353964366548,4.028577658006846
33,GO:1903706,1.0885279267354975,1.3916826479673772,4.298041204127708
34,GO:0002697,1.0754480726326319,1.35067493051861,4.090788373490449
35,GO:1902105,1.0593405067242296,1.3505731084646637,4.003649146407933
36,GO:0070371,1.0767882033686103,1.4478781210745786,4.838662552503298
37,GO:0042063,1.199184119541443,1.326339079766862,3.8720077857431083
38,GO:1903037,1.0667226031560029,1.3471498171313174,3.697329912792236
39,GO:0050678,1.1616730952319554,1.3792208358468714,4.29584772824136
40,GO:0007159,1.1847135809775915,1.3641379551866224,4.256025328071587
41,GO:0030099,1.1061156179049252,1.3228878825677601,3.8366717043245355
42,GO:0001503,1.0807872038574813,1.4334039779722245,4.712752791076203
43,GO:0030098,1.0632593218615727,1.3190891943270802,3.5245755131965524
44,GO:0048872,1.0944428425972241,1.3537068263646288,3.1227698374895865
45,GO:0002764,1.102826640483085,1.3515168152751187,2.9236546015244422
46,GO:0002757,1.1036490642867995,1.3511128121128326,2.9082397431256766
47,GO:0002262,1.111580173192111,1.4007712658629692,2.8476630539372927
48,GO:0050863,1.0633010842604007,1.3377363740111738,3.601168855876377
49,GO:0050729,1.3096752137285061,1.3836004747781412,3.766142465126799
50,GO:0031348,1.104825544691946,1.32772182888517,3.174561989878227
51,GO:0009615,1.22756944678855,1.4920314378558122,4.602524846896443
52,GO:0030217,1.0645628656149182,1.3595067754688204,3.7268042845670895
53,GO:0034101,1.1028476326752503,1.3604359245257,2.7288456694210685
54,GO:0045088,1.114837964223317,1.3447118451654205,3.8572903552918385
55,GO:0002429,1.1038493915191667,1.4046376096794828,3.1228364040155654
56,GO:0070661,1.0472978089717018,1.3465661316844,3.47531509686939
57,GO:0032102,1.100387804981573,1.3460752694814304,3.107906122332808
58,GO:0001818,1.1087646579307813,1.3090677147068983,3.6796030326439237
59,GO:0002768,1.1038493915191667,1.4046376096794828,3.1228364040155654
60,GO:0002833,1.118629374154195,1.3500353087640604,3.4698007517858676
61,GO:0051607,1.1435014128559782,1.3403695935608262,2.6847989527325753
62,GO:0140546,1.1435014128559782,1.3403695935608262,2.6847989527325753
63,GO:0002696,1.0885340279431535,1.374692505814639,3.7529093967527527
64,GO:0045089,1.1127100201093036,1.3444432996649875,3.466811578238962
