"","target_id","ext_gene","num_aggregated_transcripts","sum_mean_obs_counts","pval","qval"
"13233","ENSMUSG00000074865","Zfp934",3,4.58026495704111,0.487884885289443,0.547288876110979
"13234","ENSMUSG00000084136","Vmn1r207",1,1.65208821821542,0.488172685231817,0.547561987273771
"13235","ENSMUSG00000021013","Ttc8",2,3.78562622575812,0.488456371476072,0.547838789436404
"13236","ENSMUSG00000030187","Klra2",1,1.83398370191557,0.488772501949449,0.548151935549835
"13237","ENSMUSG00000021986","Amer2",1,1.75031811114119,0.489015097752396,0.54838257241343
"13238","ENSMUSG00000068744","Psrc1",3,7.32159352195835,0.489241206170082,0.548594686840059
"13239","ENSMUSG00000051323","Pcdh19",3,8.43246339783427,0.489386923057765,0.548716631608842
"13240","ENSMUSG00000031444","F10",1,2.97203935576094,0.489427131075347,0.548720266894445
"13241","ENSMUSG00000021143","Pacs2",3,8.94176593318924,0.489610719115607,0.548884639721476
"13242","ENSMUSG00000022797","Tfrc",2,9.82290355067009,0.489720704228705,0.548966480408616
"13243","ENSMUSG00000048003","Catsper4",1,1.64083371935791,0.489887661530443,0.549112168523589
"13244","ENSMUSG00000034324","Tmem132c",1,2.00672230197094,0.49024633125247,0.549431222431986
"13245","ENSMUSG00000028919","Arhgef19",1,3.88878630386491,0.490215098858809,0.549431222431986
"13246","ENSMUSG00000047044","D030056L22Rik",2,3.395642732241,0.490366089678912,0.549523949508815
"13247","ENSMUSG00000046269","Usp27x",2,3.65718413090826,0.491292922507953,0.550521034325361
"13248","ENSMUSG00000031209","Heph",3,5.96102446322776,0.49155656338801,0.550774881259935
"13249","ENSMUSG00000050312","Nsun3",3,6.36922693180248,0.491636147133226,0.550822474756254
"13250","ENSMUSG00000022962","Gart",6,14.4822179001595,0.492173467179306,0.551341253249538
"13251","ENSMUSG00000031302","Nlgn3",1,1.73914646660752,0.492163972414076,0.551341253249538
"13252","ENSMUSG00000020669","Sh3yl1",2,3.151390702638,0.492230585854155,0.551363629370592
"13253","ENSMUSG00000035694","Caps2",1,1.91459009398714,0.492475624791254,0.551568641023581
"13254","ENSMUSG00000027939","Nup210l",1,1.04654068176965,0.492487925635041,0.551568641023581
"13255","ENSMUSG00000022034","Esco2",2,6.48939302268204,0.492529439280198,0.551573519175802
"13256","ENSMUSG00000038677","Scube3",1,3.44432687370224,0.492869227792693,0.551912403240399
"13257","ENSMUSG00000038540","Tmc3",1,1.62912108588497,0.49312554097446,0.552157767988601
"13258","ENSMUSG00000028161","Ppp3ca",5,19.0852362356892,0.493244976397963,0.552249843841557
"13259","ENSMUSG00000021256","Vash1",1,1.40301879658375,0.493444876713187,0.552431989586737
"13260","ENSMUSG00000079036","Alkbh1",6,12.5702581700082,0.493650583256455,0.55262060768166
"13261","ENSMUSG00000028780","Sema3c",3,11.4739523867891,0.494633031399885,0.5536786605912
"13262","ENSMUSG00000115423","Gm56450",1,4.54538189025077,0.495068607677216,0.55412444671698
"13263","ENSMUSG00000020354","Sgcd",2,5.15465409102271,0.495354689742289,0.5544028511298
"13264","ENSMUSG00000032456","Nmnat3",2,4.36997488975171,0.495791802554665,0.554829100647972
"13265","ENSMUSG00000115021","Vmn1r173",1,2.30274838922762,0.495810295075138,0.554829100647972
"13266","ENSMUSG00000060206","Zfp462",1,4.38960580330419,0.496098826263433,0.555110129432715
"13267","ENSMUSG00000037355","Uvssa",3,9.95783007309447,0.496330090122712,0.555327041364403
"13268","ENSMUSG00000043384","Gprasp1",5,11.2487347891986,0.496916860957591,0.555941655415623
"13269","ENSMUSG00000027913","Crct1",1,5.41842838429808,0.497443286106327,0.556488668246462
"13270","ENSMUSG00000069844","Sco1",3,5.74920296950222,0.497676928667061,0.556708088103531
"13271","ENSMUSG00000042524","Sun2",5,18.9005514672656,0.498002026607854,0.556987800102998
"13272","ENSMUSG00000010660","Plcd1",1,4.19075137111458,0.497969544954026,0.556987800102998
"13273","ENSMUSG00000042686","Jph1",1,5.02546275633398,0.498164289278686,0.557127304305945
"13274","ENSMUSG00000024542","Cep192",6,14.0254488263955,0.49834188000887,0.557283928495681
"13275","ENSMUSG00000034022","Cpsf1",5,11.0797978383177,0.498479787266888,0.557396155343856
"13276","ENSMUSG00000027834","Serpini1",1,1.90536027189236,0.498784767551694,0.557695170950388
"13277","ENSMUSG00000039936","Pik3cd",1,1.16779193862266,0.498970079130617,0.557860349070941
"13278","ENSMUSG00000000881","Dlg3",2,6.23089609076603,0.499085595906713,0.557947475948128
"13279","ENSMUSG00000030162","Olr1",1,2.55610488410894,0.499468109721528,0.558333053746996
"13280","ENSMUSG00000038600","Atp6v0a4",2,5.94383614844579,0.499551547623139,0.558384275069117
"13281","ENSMUSG00000036282","Naa30",4,8.90512222025056,0.499763322611748,0.558578929361403
"13282","ENSMUSG00000038214","Bend3",2,6.01054044729725,0.499859212438082,0.558644040764259
"13283","ENSMUSG00000038485","Socs7",1,4.7351538095595,0.500131260425208,0.558906002390407
"13284","ENSMUSG00000047884","Klk9",1,5.37456504811889,0.500440940700848,0.559209976194173
"13285","ENSMUSG00000022742","Cpox",2,8.26358518742285,0.500491112393007,0.559220220566113
"13286","ENSMUSG00000039238","Zfp750",1,5.77135051541522,0.500525454758918,0.559220220566113
"13287","ENSMUSG00000003032","Klf4",1,6.42554764392831,0.500593442252395,0.559254087212656
"13288","ENSMUSG00000022419","Deptor",1,5.61058021458646,0.500868965466841,0.559477682548708
"13289","ENSMUSG00000041025","Iffo2",3,13.2739443561969,0.500847756656307,0.559477682548708
"13290","ENSMUSG00000033308","Dpyd",1,2.00312771376697,0.501282052590524,0.559896974315556
"13291","ENSMUSG00000003153","Slc2a3",1,2.51642895803775,0.501520704365894,0.560121385569734
"13292","ENSMUSG00000054939","Zfp174",1,2.51673432060955,0.501694059315093,0.560207988436958
"13293","ENSMUSG00000040564","Apoc1",2,9.2896617430453,0.5017113727731,0.560207988436958
