"","target_id","ext_gene","num_aggregated_transcripts","sum_mean_obs_counts","pval","qval"
"1","ENSMUSG00000003617","Cp",9,31.3737239275593,2.44250863675428e-14,3.83498281056789e-10
"2","ENSMUSG00000022094","Slc39a14",8,25.5414942549394,2.63350326428601e-10,2.06743173762773e-06
"3","ENSMUSG00000102439","Flg",7,28.6325474940806,3.62073979093156e-09,1.89497451524721e-05
"4","ENSMUSG00000021359","Tfap2a",7,22.4562061039637,5.29320765349505e-07,0.000923429481861397
"5","ENSMUSG00000028967","Errfi1",3,14.0456066256395,5.1675626627531e-07,0.000923429481861397
"6","ENSMUSG00000113902","Ndufb1",3,14.1701303141373,3.94714255681742e-07,0.000923429481861397
"7","ENSMUSG00000025393","Atp5b",5,23.6964123240396,4.29516407284038e-07,0.000923429481861397
"8","ENSMUSG00000021765","Fst",5,22.9782773337479,2.72123990850654e-07,0.000923429481861397
"9","ENSMUSG00000045128","Rpl18a",6,33.9432185368971,3.13384465230963e-07,0.000923429481861397
"10","ENSMUSG00000031765","Mt1",3,20.4138694970625,6.53962126748645e-07,0.000933441759280043
"11","ENSMUSG00000048078","Tenm4",7,23.2873772177151,6.05617191502283e-07,0.000933441759280043
"12","ENSMUSG00000028525","Pde4b",4,16.1635508307517,7.2134840648612e-07,0.000943824277519881
"13","ENSMUSG00000028364","Tnc",3,17.3840553691299,9.91074726460048e-07,0.00119698956001148
"14","ENSMUSG00000030022","Adamts9",6,21.9084123790761,1.08065439659285e-06,0.00121195390577888
"15","ENSMUSG00000024190","Dusp1",4,17.3564207791879,1.31567758690005e-06,0.00137716358612785
"16","ENSMUSG00000030879","Mrpl17",5,20.4892784067273,3.01466044937257e-06,0.00262962131753326
"17","ENSMUSG00000057666","Gapdh",5,26.7206105268271,2.82381530496868e-06,0.00262962131753326
"18","ENSMUSG00000057322","Rpl38",4,22.301410522847,3.00912995345476e-06,0.00262962131753326
"19","ENSMUSG00000026600","Soat1",5,22.6629227632287,3.3945616034276e-06,0.00280515851239035
"20","ENSMUSG00000019929","Dcn",4,24.2288302449775,4.25466904592973e-06,0.00319145312598933
"21","ENSMUSG00000079012","Serpina3m",1,4.75740069021713,4.67507941518085e-06,0.00319145312598933
"22","ENSMUSG00000032496","Ltf",1,3.07582741666056,4.52674195284037e-06,0.00319145312598933
"23","ENSMUSG00000068740","Celsr2",2,9.7719976492886,4.27177031652375e-06,0.00319145312598933
"24","ENSMUSG00000044258","Ctla2a",5,23.7081932017076,5.33746336621157e-06,0.00349181301303699
"25","ENSMUSG00000020961","Ston2",3,9.52784477995455,6.28297949697953e-06,0.00394596244328303
"26","ENSMUSG00000038729","Pakap",4,15.2966760269313,6.7280411836798e-06,0.00406296056249833
"27","ENSMUSG00000001552","Jup",6,28.0623026278178,8.69984547867807e-06,0.00487843835216873
"28","ENSMUSG00000006818","Sod2",4,23.77669762478,8.41499024721976e-06,0.00487843835216873
"29","ENSMUSG00000066687","Zbtb16",2,9.15164089983651,1.01105723163583e-05,0.00512084180448842
"30","ENSMUSG00000094686","Ccl21a",1,6.19953273022893,9.80653586007634e-06,0.00512084180448842
"31","ENSMUSG00000067288","Rps28",5,21.8296657769531,9.73787128635433e-06,0.00512084180448842
"32","ENSMUSG00000021054","Sgpp1",2,9.63329542338662,1.24005730823037e-05,0.00603313433334786
"33","ENSMUSG00000031508","Ankrd10",6,23.2629256247655,1.26803027196025e-05,0.00603313433334786
"34","ENSMUSG00000021614","Vcan",7,25.7813240419209,1.32351558568126e-05,0.0061119171208181
